,value
granted_families,888.0
with_grant_date,781.0
median_lag_years,3.06
p75_lag_years,4.33
p90_lag_years,5.28
pct_granted_within_3y,48.1
pct_granted_within_4y,69.0
pct_granted_within_5y,85.7
pct_granted_within_6y,95.1
pct_granted_within_7y,97.7
pct_granted_within_8y,99.0
