oem,funding_musd
JOBY AVIATION,5181.4
BETA TECHNOLOGIES*,2952.7
ARCHER,2864.2
EVE AIR MOBILITY,1002.6
VOLANT AEROTECH*,701.0
AUTOFLIGHT*,640.0
VERTICAL AEROSPACE,626.2
SKYDRIVE,315.9
EHANG,262.0
ELECTRA*,249.0
AEROFUGIA*,238.4
HEART AEROSPACE*,189.7
ZEROG,176.3
TCAB TECH*,142.6
ELROY AIR,111.5
REGENT*,90.0
VERTAXI,69.2
ASCENDANCE,56.5
DRONAMICS,55.8
AIR,42.0
VAERIDION,19.1
MOYA AERO,5.2
